Date,Product_ID,Store_ID,Units_Sold,Revenue,Promotion,Holiday
2022-01-05,P102,S1,102,4488,0,0
2022-01-05,P102,S2,130,3380,0,0
2022-01-05,P102,S3,107,4815,1,0
2022-01-05,P103,S1,76,1520,0,0
2022-01-05,P103,S2,103,3193,0,0
2022-01-05,P103,S3,99,2772,0,0
2022-01-05,P104,S1,104,3640,1,0
2022-01-05,P104,S2,97,1940,0,0
2022-01-05,P104,S3,117,3510,1,0
2022-01-05,P105,S1,111,5439,0,0
2022-01-05,P105,S2,118,5782,1,0
2022-01-05,P105,S3,99,2178,0,0
2022-01-06,P101,S1,72,2016,0,0
2022-01-06,P101,S2,101,3535,1,0
2022-01-06,P101,S3,96,2592,1,0
2022-01-06,P102,S1,114,3534,0,0
2022-01-06,P102,S2,130,5330,0,0
2022-01-06,P102,S3,115,5290,0,0
2022-01-06,P103,S1,98,3920,0,0
2022-01-06,P103,S2,98,2352,0,0
2022-01-06,P103,S3,142,4970,0,0
2022-01-06,P104,S1,102,3672,1,0
2022-01-06,P104,S2,99,4851,1,0
2022-01-06,P104,S3,98,2744,1,0
2022-01-06,P105,S1,112,5376,0,0
2022-01-06,P105,S2,95,3800,0,0
2022-01-06,P105,S3,113,2260,0,0
2022-01-07,P101,S1,105,4305,0,0
2022-01-07,P101,S2,83,2241,0,0
2022-01-07,P101,S3,111,4662,0,0
2022-01-07,P102,S1,85,3910,0,0
2022-01-07,P102,S2,115,3220,1,0
2022-01-07,P102,S3,95,3325,0,0
2022-01-07,P103,S1,91,3367,1,0
2022-01-07,P103,S2,76,2432,0,0
2022-01-07,P103,S3,93,3534,0,0
2022-01-07,P104,S1,100,4700,0,0
2022-01-07,P104,S2,130,4940,0,0
2022-01-07,P104,S3,91,4459,0,0
2022-01-07,P105,S1,95,3705,0,0
2022-01-07,P105,S2,103,3502,0,0
2022-01-07,P105,S3,102,4080,0,0
2022-01-08,P101,S1,105,3255,0,0
2022-01-08,P101,S2,157,6594,0,0
2022-01-08,P101,S3,149,5215,1,0
2022-01-08,P102,S1,91,3276,0,0
2022-01-08,P102,S2,124,4712,0,0
2022-01-08,P102,S3,110,4950,1,0
2022-01-08,P103,S1,146,4964,0,0
2022-01-08,P103,S2,148,3996,1,0
2022-01-08,P103,S3,128,2560,1,0
2022-01-08,P104,S1,127,5207,1,0
2022-01-08,P104,S2,146,3212,0,0
2022-01-08,P104,S3,141,6204,0,0
2022-01-08,P105,S1,111,5217,0,0
2022-01-08,P105,S2,118,5310,1,0
2022-01-08,P105,S3,150,6000,0,0
2022-01-09,P101,S1,118,4956,0,1
2022-01-09,P101,S2,103,4223,0,1
2022-01-09,P101,S3,120,5400,1,1
2022-01-09,P102,S1,115,2300,0,1
2022-01-09,P102,S2,136,4760,0,1
2022-01-09,P102,S3,145,5220,1,1
2022-01-09,P103,S1,139,4309,0,1
2022-01-09,P103,S2,129,6063,0,1
2022-01-09,P103,S3,129,3999,0,1
2022-01-09,P104,S1,129,2580,0,1
2022-01-09,P104,S2,111,3441,0,1
2022-01-09,P104,S3,108,2268,0,1
2022-01-09,P105,S1,98,4410,0,1
2022-01-09,P105,S2,138,6210,0,1
2022-01-09,P105,S3,103,2678,0,1
2022-01-10,P101,S1,89,3560,0,0
2022-01-10,P101,S2,108,2484,0,0
2022-01-10,P101,S3,100,2800,0,0
2022-01-10,P102,S1,126,2898,0,0
2022-01-10,P102,S2,109,2834,0,0
2022-01-10,P102,S3,104,3224,0,0
2022-01-10,P103,S1,118,3776,1,0
2022-01-10,P103,S2,92,3312,0,0
2022-01-10,P103,S3,81,2835,0,0
2022-01-10,P104,S1,93,2139,0,0
2022-01-10,P104,S2,97,2716,1,0
2022-01-10,P104,S3,107,4173,0,0
2022-01-10,P105,S1,100,3400,0,0
2022-01-10,P105,S2,105,4095,0,0
2022-01-10,P105,S3,89,2047,1,0
2022-01-11,P101,S1,96,3840,0,0
2022-01-11,P101,S2,105,2730,1,0
2022-01-11,P101,S3,129,4386,0,0
2022-01-11,P102,S1,108,3132,1,0
2022-01-11,P102,S2,102,3366,1,0
2022-01-11,P102,S3,102,2958,0,0
2022-01-11,P103,S1,78,2106,0,0
2022-01-11,P103,S2,103,2060,1,0
2022-01-11,P103,S3,106,3392,1,0
2022-01-11,P104,S1,99,2475,1,0
2022-01-11,P104,S2,66,1716,0,0
2022-01-11,P104,S3,96,4320,0,0
2022-01-11,P105,S1,78,2886,0,0
2022-01-11,P105,S2,95,4275,1,0
2022-01-11,P105,S3,111,2886,1,0
2022-01-12,P101,S1,110,3520,0,0
2022-01-12,P101,S2,93,4092,1,0
2022-01-12,P101,S3,65,1625,0,0
2022-01-12,P102,S1,73,2555,0,0
2022-01-12,P102,S2,110,3300,1,0
2022-01-12,P102,S3,114,5016,0,0
2022-01-12,P103,S1,86,2408,0,0
2022-01-12,P103,S2,88,3696,0,0
2022-01-12,P103,S3,124,3844,1,0
2022-01-12,P104,S1,99,4257,0,0
2022-01-12,P104,S2,92,2484,0,0
2022-01-12,P104,S3,83,3901,0,0
2022-01-12,P105,S1,125,5875,0,0
2022-01-12,P105,S2,97,3492,0,0
2022-01-12,P105,S3,77,3080,1,0
2022-01-13,P101,S1,88,2904,0,0
2022-01-13,P101,S2,109,2725,1,0
2022-01-13,P101,S3,113,2373,0,0
2022-01-13,P102,S1,124,6076,1,0
2022-01-13,P102,S2,119,4046,0,0
2022-01-13,P102,S3,94,3760,1,0
2022-01-13,P103,S1,119,4284,1,0
2022-01-13,P103,S2,96,2016,0,0
2022-01-13,P103,S3,105,2520,1,0
2022-01-13,P104,S1,94,2350,1,0
2022-01-13,P104,S2,125,3625,1,0
2022-01-13,P104,S3,111,3996,0,0
2022-01-13,P105,S1,92,2944,0,0
2022-01-13,P105,S2,90,4410,1,0
2022-01-13,P105,S3,49,1078,0,0
2022-01-14,P101,S1,97,3007,1,0
2022-01-14,P101,S2,108,3672,0,0
2022-01-14,P101,S3,122,2928,0,0
2022-01-14,P102,S1,87,2175,0,0
2022-01-14,P102,S2,112,2352,0,0
2022-01-14,P102,S3,76,3496,0,0
2022-01-14,P103,S1,123,2583,0,0
2022-01-14,P103,S2,124,5828,0,0
2022-01-14,P103,S3,103,2987,1,0
2022-01-14,P104,S1,101,4747,0,0
2022-01-14,P104,S2,113,2712,1,0
2022-01-14,P104,S3,70,2100,0,0
2022-01-14,P105,S1,100,3000,0,0
2022-01-14,P105,S2,85,3655,0,0
2022-01-14,P105,S3,109,2398,0,0
2022-01-15,P101,S1,123,4674,0,0
2022-01-15,P101,S2,127,3048,0,0
2022-01-15,P101,S3,118,2950,0,0
2022-01-15,P102,S1,120,3360,0,0
2022-01-15,P102,S2,103,4635,1,0
2022-01-15,P102,S3,104,4576,0,0
2022-01-15,P103,S1,103,3605,0,0
2022-01-15,P103,S2,122,5490,1,0
2022-01-15,P103,S3,124,4836,0,0
2022-01-15,P104,S1,110,4730,0,0
2022-01-15,P104,S2,99,4257,1,0
2022-01-15,P104,S3,142,6390,0,0
2022-01-15,P105,S1,134,4556,1,0
2022-01-15,P105,S2,107,3210,0,0
2022-01-15,P105,S3,120,2640,0,0
2022-01-16,P101,S1,107,4708,1,1
2022-01-16,P101,S2,125,4500,0,1
2022-01-16,P101,S3,102,4590,0,1
2022-01-16,P102,S1,111,4884,0,1
2022-01-16,P102,S2,104,2288,0,1
2022-01-16,P102,S3,160,6560,0,1
2022-01-16,P103,S1,112,3024,0,1
2022-01-16,P103,S2,91,2184,0,1
2022-01-16,P103,S3,138,6210,0,1
2022-01-16,P104,S1,121,3025,0,1
2022-01-16,P104,S2,97,1940,0,1
2022-01-16,P104,S3,112,3920,0,1
2022-01-16,P105,S1,103,3090,0,1
2022-01-16,P105,S2,133,4522,1,1
2022-01-16,P105,S3,124,4464,0,1
2022-01-17,P101,S1,114,2394,0,0
2022-01-17,P101,S2,110,2970,0,0
2022-01-17,P101,S3,95,4275,0,0
2022-01-17,P102,S1,109,4142,0,0
2022-01-17,P102,S2,105,2100,0,0
2022-01-17,P102,S3,127,3175,0,0
2022-01-17,P103,S1,101,3030,0,0
2022-01-17,P103,S2,83,2075,0,0
2022-01-17,P103,S3,92,2208,0,0
2022-01-17,P104,S1,113,3164,0,0
2022-01-17,P104,S2,64,3136,0,0
2022-01-17,P104,S3,90,2160,1,0
2022-01-17,P105,S1,104,3224,0,0
2022-01-17,P105,S2,103,2060,1,0
2022-01-17,P105,S3,119,3213,1,0
2022-01-18,P101,S1,105,2520,0,0
2022-01-18,P101,S2,97,2328,0,0
2022-01-18,P101,S3,97,3201,0,0
2022-01-18,P102,S1,115,5060,0,0
2022-01-18,P102,S2,97,2619,0,0
2022-01-18,P102,S3,91,2275,0,0
2022-01-18,P103,S1,68,2312,0,0
2022-01-18,P103,S2,83,1743,0,0
2022-01-18,P103,S3,77,2079,0,0
2022-01-18,P104,S1,67,1474,0,0
2022-01-18,P104,S2,123,3321,0,0
2022-01-18,P104,S3,127,5842,1,0
2022-01-18,P105,S1,101,2525,1,0
2022-01-18,P105,S2,116,2320,0,0
2022-01-18,P105,S3,112,4592,1,0
2022-01-19,P101,S1,126,5166,1,0
2022-01-19,P101,S2,101,3434,1,0
2022-01-19,P101,S3,97,4656,0,0
2022-01-19,P102,S1,87,4176,0,0
2022-01-19,P102,S2,116,4408,0,0
2022-01-19,P102,S3,116,2668,1,0
2022-01-19,P103,S1,119,5831,1,0
2022-01-19,P103,S2,107,2675,0,0
2022-01-19,P103,S3,76,2280,0,0
2022-01-19,P104,S1,92,2944,0,0
2022-01-19,P104,S2,97,2619,1,0
2022-01-19,P104,S3,95,2945,0,0
2022-01-19,P105,S1,92,2576,0,0
2022-01-19,P105,S2,121,5808,0,0
2022-01-19,P105,S3,97,4365,1,0
2022-01-20,P101,S1,94,3854,1,0
2022-01-20,P101,S2,83,3154,0,0
2022-01-20,P101,S3,85,3400,0,0
2022-01-20,P102,S1,90,3960,0,0
2022-01-20,P102,S2,111,3108,0,0
2022-01-20,P102,S3,117,2925,0,0
2022-01-20,P103,S1,98,3626,0,0
2022-01-20,P103,S2,104,4784,0,0
2022-01-20,P103,S3,113,4294,0,0
2022-01-20,P104,S1,84,3360,1,0
2022-01-20,P104,S2,106,3816,1,0
2022-01-20,P104,S3,88,3256,0,0
2022-01-20,P105,S1,91,2366,1,0
2022-01-20,P105,S2,136,5576,0,0
2022-01-20,P105,S3,77,3696,0,0
2022-01-21,P101,S1,86,4214,1,0
2022-01-21,P101,S2,85,3910,1,0
2022-01-21,P101,S3,95,3420,0,0
2022-01-21,P102,S1,70,3430,1,0
2022-01-21,P102,S2,77,2926,0,0
2022-01-21,P102,S3,112,2352,0,0
2022-01-21,P103,S1,93,3534,0,0
2022-01-21,P103,S2,48,960,0,0
2022-01-21,P103,S3,103,2987,0,0
2022-01-21,P104,S1,99,3267,0,0
2022-01-21,P104,S2,120,2640,0,0
2022-01-21,P104,S3,69,3174,0,0
2022-01-21,P105,S1,76,1824,0,0
2022-01-21,P105,S2,117,2340,0,0
2022-01-21,P105,S3,114,4902,1,0
2022-01-22,P101,S1,131,5633,1,0
2022-01-22,P101,S2,117,4914,1,0
2022-01-22,P101,S3,106,2756,0,0
2022-01-22,P102,S1,132,4620,0,0
2022-01-22,P102,S2,129,2967,0,0
2022-01-22,P102,S3,129,3096,0,0
2022-01-22,P103,S1,125,3625,1,0
2022-01-22,P103,S2,117,4563,0,0
2022-01-22,P103,S3,120,3000,1,0
2022-01-22,P104,S1,136,2992,1,0
2022-01-22,P104,S2,116,4756,1,0
2022-01-22,P104,S3,124,5704,1,0
2022-01-22,P105,S1,107,3852,0,0
2022-01-22,P105,S2,147,3087,0,0
2022-01-22,P105,S3,123,3198,0,0
2022-01-23,P101,S1,106,4770,0,1
2022-01-23,P101,S2,149,4768,0,1
2022-01-23,P101,S3,136,5440,1,1
2022-01-23,P102,S1,130,3640,0,1
2022-01-23,P102,S2,152,6840,1,1
2022-01-23,P102,S3,132,5280,0,1
2022-01-23,P103,S1,125,3875,0,1
2022-01-23,P103,S2,136,5440,0,1
2022-01-23,P103,S3,119,5593,1,1
2022-01-23,P104,S1,134,4422,0,1
2022-01-23,P104,S2,129,4902,0,1
2022-01-23,P104,S3,111,4218,0,1
2022-01-23,P105,S1,99,2277,1,1
2022-01-23,P105,S2,110,2860,0,1
2022-01-23,P105,S3,120,5160,1,1
2022-01-24,P101,S1,110,2640,0,0
2022-01-24,P101,S2,106,4028,0,0
2022-01-24,P101,S3,76,2280,1,0
2022-01-24,P102,S1,94,2632,0,0
2022-01-24,P102,S2,136,4896,0,0
2022-01-24,P102,S3,113,4972,0,0
2022-01-24,P103,S1,126,2772,0,0
2022-01-24,P103,S2,116,4176,0,0
2022-01-24,P103,S3,93,2697,0,0
2022-01-24,P104,S1,88,3080,1,0
2022-01-24,P104,S2,102,2754,0,0
2022-01-24,P104,S3,114,3990,1,0
2022-01-24,P105,S1,115,5060,1,0
2022-01-24,P105,S2,122,3416,1,0
2022-01-24,P105,S3,117,3978,0,0
2022-01-25,P101,S1,83,2158,0,0
2022-01-25,P101,S2,141,5640,1,0
2022-01-25,P101,S3,99,4554,1,0
2022-01-25,P102,S1,99,3663,1,0
2022-01-25,P102,S2,100,4600,1,0
2022-01-25,P102,S3,92,3312,0,0
2022-01-25,P103,S1,115,3680,0,0
2022-01-25,P103,S2,71,1704,0,0
2022-01-25,P103,S3,70,1820,0,0
2022-01-25,P104,S1,82,2952,0,0
2022-01-25,P104,S2,120,2400,1,0
2022-01-25,P104,S3,114,3306,1,0
2022-01-25,P105,S1,85,1785,0,0
2022-01-25,P105,S2,66,2772,0,0
2022-01-25,P105,S3,111,5106,1,0
2022-01-26,P101,S1,99,3861,0,0
2022-01-26,P101,S2,140,4340,1,0
2022-01-26,P101,S3,92,2668,0,0
2022-01-26,P102,S1,106,2120,0,0
2022-01-26,P102,S2,70,1540,0,0
2022-01-26,P102,S3,113,4181,0,0
2022-01-26,P103,S1,95,4180,0,0
2022-01-26,P103,S2,98,2254,0,0
2022-01-26,P103,S3,88,3960,1,0
2022-01-26,P104,S1,110,2860,1,0
2022-01-26,P104,S2,79,2607,0,0
2022-01-26,P104,S3,100,2700,1,0
2022-01-26,P105,S1,102,4182,0,0
2022-01-26,P105,S2,78,1638,0,0
2022-01-26,P105,S3,103,2884,0,0
2022-01-27,P101,S1,92,2208,0,0
2022-01-27,P101,S2,119,4998,1,0
2022-01-27,P101,S3,96,3552,0,0
2022-01-27,P102,S1,84,3024,0,0
2022-01-27,P102,S2,93,3999,1,0
2022-01-27,P102,S3,111,4884,0,0
2022-01-27,P103,S1,89,2492,0,0
2022-01-27,P103,S2,104,4784,0,0
2022-01-27,P103,S3,106,2862,1,0
2022-01-27,P104,S1,107,3210,0,0
2022-01-27,P104,S2,75,2025,0,0
2022-01-27,P104,S3,83,2905,0,0
2022-01-27,P105,S1,94,3384,0,0
2022-01-27,P105,S2,105,3360,0,0
2022-01-27,P105,S3,120,5160,0,0
2022-01-28,P101,S1,107,2889,0,0
2022-01-28,P101,S2,110,4180,1,0
2022-01-28,P101,S3,96,4512,1,0
2022-01-28,P102,S1,108,3240,0,0
2022-01-28,P102,S2,112,4480,0,0
2022-01-28,P102,S3,122,3172,1,0
2022-01-28,P103,S1,111,3552,1,0
2022-01-28,P103,S2,96,4704,1,0
2022-01-28,P103,S3,89,3293,1,0
2022-01-28,P104,S1,102,2652,0,0
2022-01-28,P104,S2,121,3872,0,0
2022-01-28,P104,S3,102,2142,0,0
2022-01-28,P105,S1,103,4429,1,0
2022-01-28,P105,S2,96,2496,0,0
2022-01-28,P105,S3,91,1911,0,0
2022-01-29,P101,S1,131,6288,1,0
2022-01-29,P101,S2,124,4836,0,0
2022-01-29,P101,S3,119,4284,1,0
2022-01-29,P102,S1,115,4140,0,0
2022-01-29,P102,S2,139,6394,1,0
2022-01-29,P102,S3,99,3267,1,0
2022-01-29,P103,S1,127,3302,0,0
2022-01-29,P103,S2,114,2280,0,0
2022-01-29,P103,S3,145,6525,0,0
2022-01-29,P104,S1,121,2541,0,0
2022-01-29,P104,S2,103,4326,1,0
2022-01-29,P104,S3,119,3570,0,0
2022-01-29,P105,S1,125,5125,0,0
2022-01-29,P105,S2,113,2486,1,0
2022-01-29,P105,S3,118,4720,1,0
2022-01-30,P101,S1,104,2496,0,1
2022-01-30,P101,S2,99,2178,0,1
2022-01-30,P101,S3,111,4995,1,1
2022-01-30,P102,S1,111,3996,0,1
2022-01-30,P102,S2,111,3441,0,1
2022-01-30,P102,S3,159,7473,0,1
2022-01-30,P103,S1,97,3492,0,1
2022-01-30,P103,S2,119,4403,1,1
2022-01-30,P103,S3,104,2288,1,1
2022-01-30,P104,S1,129,5805,0,1
2022-01-30,P104,S2,118,3894,0,1
2022-01-30,P104,S3,100,2800,0,1
2022-01-30,P105,S1,131,5764,0,1
2022-01-30,P105,S2,102,2142,1,1
2022-01-30,P105,S3,139,4170,1,1
2022-01-31,P101,S1,100,4900,0,0
2022-01-31,P101,S2,84,2772,1,0
2022-01-31,P101,S3,115,5060,1,0
2022-01-31,P102,S1,121,3025,1,0
2022-01-31,P102,S2,116,3248,0,0
2022-01-31,P102,S3,114,5016,0,0
2022-01-31,P103,S1,101,4747,1,0
2022-01-31,P103,S2,96,2784,1,0
2022-01-31,P103,S3,117,5733,0,0
2022-01-31,P104,S1,103,4017,0,0
2022-01-31,P104,S2,111,3774,0,0
2022-01-31,P104,S3,87,3654,0,0
2022-01-31,P105,S1,105,2940,0,0
2022-01-31,P105,S2,115,3220,1,0
2022-01-31,P105,S3,107,5243,1,0
2022-02-01,P101,S1,114,3876,1,0
2022-02-01,P101,S2,123,5535,0,0
2022-02-01,P101,S3,106,2968,0,0
2022-02-01,P102,S1,129,3999,0,0
2022-02-01,P102,S2,97,3104,0,0
2022-02-01,P102,S3,80,2640,0,0
2022-02-01,P103,S1,119,3213,1,0
2022-02-01,P103,S2,95,2945,0,0
2022-02-01,P103,S3,102,3774,0,0
2022-02-01,P104,S1,111,5106,0,0
2022-02-01,P104,S2,74,2146,0,0
2022-02-01,P104,S3,97,3298,0,0
2022-02-01,P105,S1,82,2542,0,0
2022-02-01,P105,S2,102,4386,0,0
2022-02-01,P105,S3,111,2553,1,0
2022-02-02,P101,S1,104,3848,1,0
2022-02-02,P101,S2,127,3556,0,0
2022-02-02,P101,S3,102,2142,0,0
2022-02-02,P102,S1,130,2990,0,0
2022-02-02,P102,S2,113,4633,0,0
2022-02-02,P102,S3,80,1760,0,0
2022-02-02,P103,S1,124,2728,1,0
2022-02-02,P103,S2,115,2645,1,0
2022-02-02,P103,S3,95,3135,0,0
2022-02-02,P104,S1,93,2232,1,0
2022-02-02,P104,S2,79,3713,0,0
2022-02-02,P104,S3,103,3399,0,0
2022-02-02,P105,S1,121,3025,0,0
2022-02-02,P105,S2,77,3388,1,0
2022-02-02,P105,S3,116,2320,1,0
2022-02-03,P101,S1,85,3655,0,0
2022-02-03,P101,S2,92,2668,0,0
2022-02-03,P101,S3,92,3036,0,0
2022-02-03,P102,S1,133,3724,0,0
2022-02-03,P102,S2,95,3705,0,0
2022-02-03,P102,S3,84,2520,1,0
2022-02-03,P103,S1,81,1944,0,0
2022-02-03,P103,S2,114,4902,0,0
2022-02-03,P103,S3,118,4012,0,0
2022-02-03,P104,S1,96,3168,0,0
2022-02-03,P104,S2,104,2496,1,0
2022-02-03,P104,S3,114,2736,0,0
2022-02-03,P105,S1,102,3876,0,0
2022-02-03,P105,S2,106,4664,0,0
2022-02-03,P105,S3,110,4730,0,0
2022-02-04,P101,S1,135,5265,0,0
2022-02-04,P101,S2,101,4949,0,0
2022-02-04,P101,S3,89,3738,0,0
2022-02-04,P102,S1,113,4520,0,0
2022-02-04,P102,S2,94,2256,1,0
2022-02-04,P102,S3,132,4488,0,0
2022-02-04,P103,S1,103,3708,1,0
2022-02-04,P103,S2,134,4556,0,0
2022-02-04,P103,S3,120,4560,1,0
2022-02-04,P104,S1,121,3993,0,0
2022-02-04,P104,S2,92,4324,0,0
2022-02-04,P104,S3,108,2700,0,0
2022-02-04,P105,S1,98,2744,0,0
2022-02-04,P105,S2,107,2247,0,0
2022-02-04,P105,S3,121,3025,1,0
2022-02-05,P101,S1,105,3360,1,0
2022-02-05,P101,S2,143,6149,0,0
2022-02-05,P101,S3,120,3120,0,0
2022-02-05,P102,S1,107,2782,0,0
2022-02-05,P102,S2,102,3876,0,0
2022-02-05,P102,S3,100,3600,0,0
2022-02-05,P103,S1,119,2975,0,0
2022-02-05,P103,S2,148,4292,1,0
2022-02-05,P103,S3,139,3892,0,0
2022-02-05,P104,S1,124,3100,1,0
2022-02-05,P104,S2,140,6720,0,0
2022-02-05,P104,S3,103,2472,0,0
2022-02-05,P105,S1,99,2277,0,0
2022-02-05,P105,S2,134,4958,1,0
2022-02-05,P105,S3,132,3960,0,0
2022-02-06,P101,S1,135,5940,0,1
2022-02-06,P101,S2,128,4864,0,1
2022-02-06,P101,S3,121,2541,0,1
2022-02-06,P102,S1,132,3036,0,1
2022-02-06,P102,S2,109,3706,0,1
2022-02-06,P102,S3,107,2889,0,1
2022-02-06,P103,S1,146,5256,1,1
2022-02-06,P103,S2,135,6075,0,1
2022-02-06,P103,S3,132,3828,1,1
2022-02-06,P104,S1,109,2834,0,1
2022-02-06,P104,S2,115,4945,1,1
2022-02-06,P104,S3,131,3013,0,1
2022-02-06,P105,S1,117,3744,0,1
2022-02-06,P105,S2,141,6486,0,1
2022-02-06,P105,S3,127,5969,0,1
2022-02-07,P101,S1,137,3836,0,0
2022-02-07,P101,S2,97,2813,1,0
2022-02-07,P101,S3,87,3045,0,0
2022-02-07,P102,S1,91,3913,1,0
2022-02-07,P102,S2,88,4136,0,0
2022-02-07,P102,S3,112,3248,0,0
2022-02-07,P103,S1,114,4218,0,0
2022-02-07,P103,S2,111,2220,0,0
2022-02-07,P103,S3,98,3528,0,0
2022-02-07,P104,S1,88,2288,0,0
2022-02-07,P104,S2,92,2668,0,0
2022-02-07,P104,S3,95,4180,1,0
2022-02-07,P105,S1,106,2332,0,0
2022-02-07,P105,S2,94,4512,1,0
2022-02-07,P105,S3,132,4752,0,0
2022-02-08,P101,S1,119,2737,1,0
2022-02-08,P101,S2,96,2784,1,0
2022-02-08,P101,S3,92,2208,1,0
2022-02-08,P102,S1,117,2574,0,0
2022-02-08,P102,S2,82,2132,0,0
2022-02-08,P102,S3,85,3060,1,0
2022-02-08,P103,S1,96,3840,0,0
2022-02-08,P103,S2,107,2889,0,0
2022-02-08,P103,S3,74,1628,0,0
2022-02-08,P104,S1,109,2289,1,0
2022-02-08,P104,S2,114,2394,0,0
2022-02-08,P104,S3,133,5187,0,0
2022-02-08,P105,S1,112,3584,0,0
2022-02-08,P105,S2,105,3570,0,0
2022-02-08,P105,S3,90,3960,1,0
2022-02-09,P101,S1,105,3255,0,0
2022-02-09,P101,S2,120,4200,0,0
2022-02-09,P101,S3,113,4746,0,0
2022-02-09,P102,S1,105,4620,0,0
2022-02-09,P102,S2,115,4485,0,0
2022-02-09,P102,S3,106,2120,0,0
2022-02-09,P103,S1,99,3069,1,0
2022-02-09,P103,S2,87,1827,0,0
2022-02-09,P103,S3,90,1890,1,0
2022-02-09,P104,S1,76,2964,0,0
2022-02-09,P104,S2,111,4995,0,0
2022-02-09,P104,S3,116,3480,0,0
2022-02-09,P105,S1,104,4888,1,0
2022-02-09,P105,S2,105,2310,0,0
2022-02-09,P105,S3,102,2958,1,0
2022-02-10,P101,S1,112,4368,1,0
2022-02-10,P101,S2,112,3808,0,0
2022-02-10,P101,S3,112,4144,1,0
2022-02-10,P102,S1,90,3330,0,0
2022-02-10,P102,S2,100,4100,0,0
2022-02-10,P102,S3,106,3498,0,0
2022-02-10,P103,S1,108,2700,0,0
2022-02-10,P103,S2,102,4080,0,0
2022-02-10,P103,S3,118,4012,1,0
2022-02-10,P104,S1,53,2491,1,0
2022-02-10,P104,S2,107,3531,1,0
2022-02-10,P104,S3,89,4272,0,0
2022-02-10,P105,S1,85,4165,0,0
2022-02-10,P105,S2,112,4704,0,0
2022-02-10,P105,S3,93,2790,1,0
2022-02-11,P101,S1,103,4429,0,0
2022-02-11,P101,S2,85,3400,0,0
2022-02-11,P101,S3,100,4900,0,0
2022-02-11,P102,S1,112,2240,0,0
2022-02-11,P102,S2,90,2340,0,0
2022-02-11,P102,S3,93,4464,0,0
2022-02-11,P103,S1,93,4371,1,0
2022-02-11,P103,S2,117,5733,0,0
2022-02-11,P103,S3,114,2508,0,0
2022-02-11,P104,S1,122,2928,0,0
2022-02-11,P104,S2,99,2376,0,0
2022-02-11,P104,S3,95,3895,1,0
2022-02-11,P105,S1,65,2600,1,0
2022-02-11,P105,S2,105,2100,0,0
2022-02-11,P105,S3,87,3915,0,0
2022-02-12,P101,S1,123,2706,0,0
2022-02-12,P101,S2,132,3960,0,0
2022-02-12,P101,S3,106,4134,0,0
